Category,Drug Count
Sympathomimetics in Glaucoma Therapy,5
Antipsoriatics for Systemic Use,5
Scopolamine Derivatives,5
Barbiturates and Derivatives,5
Sclerosing Agents for Local Injection,5
Oxicams,5
Androgen Receptor Antagonists,5
Glycopeptide Antibacterials,5
Platinum Compounds,5
Anticestodal Agents,5
Chelating Activity,5
Myeloablative Agonists,5
Fluoropyrimidines,5
Neuraminic Acids,5
Carboxamide Derivatives,5
Cytochrome P-450 CYP3A5 Inducers (strong),5
Neuromuscular Nondepolarizing Blockade,5
Antivertigo Preparations,5
Imidazoline Receptor Agonists,5
Stimulation Large Intestine Fluid/Electrolyte Secretion,5
"alpha-Galactosidase, antagonists & inhibitors",5
Fatty Acid Synthesis Inhibitors,5
Antitrichomonal Agents,5
"Neprilysin, antagonists & inhibitors",5
Cytochrome P-450 CYP3A7 Inducers (strength unknown),5
OAT3/SLC22A8 Inducers,5
Purinergic Agonists,5
Purinergic P1 Receptor Agonists,5
"Laxatives, magnesium containing",5
Phosphate Chelating Activity,5
Alcohol Deterrents,5
Drugs Used in Alcohol Dependence,5
Substance P/Neurokinin-1 Receptor Antagonist,5
Fluoresceins,5
Esters of Aminobenzoic Acid,5
Hemodialysis Solution,5
"Metalloendopeptidases, antagonists & inhibitors",5
Butylpyrazolidines,5
Opioid Peptides,5
Antidiuretic Hormone Receptor Antagonists,5
Thioxanthene Derivatives,5
Biguanides and Amidines,5
Nitroimidazole Antimicrobial,5
Migraine Disorders,5
Calcium Chelating Activity,5
"Estrogenic Steroids, Alkylated",5
Gold Preparations,5
Ethyl Ethers,5
Preparations Increasing Uric Acid Excretion,5
Peripheral Opioid Receptor Antagonists,5
Iodobenzenes,5
Anthraquinones,5
UGT1A3 Inhibitors,5
Urinary Alkalinisers,5
Intestinal Adsorbents,5
Bile acids and derivatives,5
Isoflavones,5
"Nucleotides, Cyclic",5
Galactosides,5
"Purine-Nucleoside Phosphorylase, antagonists & inhibitors",5
Thiourea,5
Histone deacetylase (HDAC) inhibitors,5
Tissue Adhesives,5
"Alcohol Dehydrogenase, antagonists & inhibitors",5
Lactates,5
Plants,5
"Neuraminidase, antagonists & inhibitors",5
Phosphatidylcholines,5
Phosphotransferases (Alcohol Group Acceptor),5
Melanocyte-Stimulating Hormones,5
"Immunization, Passive",5
Nerve Growth Factors,5
Halogens,5
Milk Proteins,5
Sapogenins,5
"PPAR gamma, agonists",5
Interleukin-23 Antagonist,5
Kinins,5
Direct factor Xa inhibitors,5
Complement Inactivator Proteins,5
Autologous Cellular Immunotherapy,5
Artemisinin and derivatives,5
Cysteine Endopeptidases,5
Angiotensins,5
Metal Chelator,5
Vinyl Compounds,5
HIV Integrase Inhibitors,5
Human Immunodeficiency Virus Integrase Strand Transfer Inhibitor,5
Integrase Inhibitors,5
Plant Growth Regulators,5
Anaplastic lymphoma kinase (ALK) inhibitors,5
ROS1 tyrosine kinase inhibitors,5
Sphingosine 1 Phosphate Receptor Modulators,5
Sphingosine-1-phosphate (S1P) receptor modulators,5
Guanylyl Cyclase C Agonists,5
Bruton's tyrosine kinase (BTK) inhibitors,5
Caustics,5
Organotechnetium Compounds,5
Medical Gases,5
Azo Compounds,5
Fluorides,5
Non-Standardized Feather Allergenic Extract,5
Inactivated Bordetella Pertussis Vaccine,5
"Resins, Plant",5
"Fatty Acids, Omega-6",5
Perfume,5
Boric Acids,5
"Metals, Alkali",5
Polyether Polyketides,5
"Janus Kinase 2, antagonists & inhibitors",5
Semicarbazides,5
Semicarbazones,5
Tumor Suppressor Proteins,5
Factor VIII,5
Endodeoxyribonucleases,4
Increased Erythroid Cell Production,4
Asparagine-specific Enzyme,4
Pituitary,4
Acetylcholine Release Inhibitors,4
Botulinum Toxins,4
Tumor Necrosis Factor Receptor Blocking Activity,4
Glucosidases,4
Hydrolytic Lysosomal Glucocerebroside-specific Enzyme,4
Blood Coagulation Factor Inhibitors,4
Acute-Phase Proteins,4
Proteinase Inhibitors,4
Cardiac Function,4
Increased Intravascular Volume,4
Serum Albumin,4
Hydrolytic Lysosomal Glycosaminoglycan-specific Enzyme,4
Calcineurin Inhibitor Immunosuppressant,4
Calcineurin Inhibitors,4
Body Fluids,4
DNA-Binding Proteins,4
Galactosidases,4
Viral Proteins,4
Vascular Endothelial Growth Factor Inhibitor,4
Pyruvates,4
Other Nutritional Agents,4
Gastrointestinal Acidifying Agents,4
Linolenic Acids,4
Acid Preparations,4
Oximes,4
Lignans,4
Pyrazines,4
Sympathomimetic Amine Anorectic,4
Macrolide Antimicrobial,4
Renin Inhibitors,4
Increased Diuresis at Loop of Henle,4
Deoxyadenosines,4
Miscellaneous Cardiac Drugs,4
Aminosalicylate,4
Drugs for Treatment of Lepra,4
Cytochrome P-450 CYP2E1 Inhibitors (strong),4
"Synthetic Estrogens, Plain",4
Phosphate-removing Agents,4
Histamine Agonists,4
Thyronines,4
Analgesics and Anesthetics,4
"Antiarrhythmics, Class Ib",4
Herpesvirus Nucleoside Analog DNA Polymerase Inhibitor,4
Benzophenones,4
Antipyretics,4
Sympatholytic (Adrenergic Blocking) Agents,4
Cyanides,4
Direct Vasodilators,4
Ferric Compounds,4
Intermediate-Acting Antibacterial Sulfonamides,4
Echinocandins,4
Cytomegalovirus Nucleoside Analog DNA Polymerase Inhibitor,4
Prostacyclin Analogues,4
Bile Acid Sequestrants,4
Sympathomimetics Excl. Antiglaucoma Preparations,4
Digoxin and derivatives,4
Tubulin Inhibiting Agent,4
Tests for Bile Duct Patency,4
Renal Agents,4
Cytochrome P-450 CYP3A5 Inducers (weak),4
Cinchona Alkaloids,4
Aminocaproates,4
Caproates,4
Aluminum Silicates,4
Cytochrome P-450 CYP1A2 Inducers (strong),4
Alkylmercury Compounds,4
Anti-Estrogens,4
Furocoumarins,4
Ultrasound Contrast Activity,4
Cytochrome P-450 CYP2C9 Inducers (moderate),4
Lead Chelating Activity,4
Lead Chelator,4
UDP Glucuronosyltransferases Inhibitors,4
Pediculicides,4
Opiate Partial Agonists,4
Corticosteroids for Local Oral Treatment,4
Androgens and Estrogens,4
"Gonadotropin-Releasing Hormone, antagonists & inhibitors",4
Magnesium Salts,4
Phenylalkylamine Derivatives,4
Neurokinin 1 Antagonists,4
Phenothiazines With Piperidine Structure,4
Mineralocorticoids,4
"IMP Dehydrogenase, antagonists & inhibitors",4
Fentanyl and fentanyl analogues,4
"Opioids, Anilidopiperidine",4
Emetics,4
Explosive Agents,4
i.v. Solutions,4
Wakefulness-Promoting Agents,4
Iron Chelating Activity,4
Histamine H1 Inhibitors,4
P2Y12 Platelet Inhibitor,4
Potassium Compounds,4
Topoisomerase 1 (TOP1) inhibitors,4
Antihistamine Drugs,4
Miscellaneous Vasodilatating Agents,4
Antiinflammatory Products for Vaginal Administration,4
Naphthaleneacetic Acids,4
Gentamicins,4
Antimicrobial Cationic Peptides,4
Purine Derivatives,4
5-alpha Reductase Inhibitors,4
Sulfur Containing Products,4
Adenosine A2 Receptor Antagonists,4
Luteolytic Agents,4
Enkephalins,4
Mammalian target of rapamycin (mTOR) kinase inhibitors,4
Mouthwashes and Gargles,4
Glycolates,4
Bis-Trimethylammonium Compounds,4
Non-Watersoluble X-Ray Contrast Media,4
Dihydroxyphenylalanine,4
Calcium Chelating Agents,4
Decreased Coagulation Factor Activity,4
Gold Compounds,4
Antisickling Agents,4
Antiadrenal Preparations,4
Anticorticosteroids,4
MATE 2 Substrates with a Narrow Therapeutic Index,4
Monoamine Oxidase B Inhibitors,4
Cytochrome P-450 CYP2C19 Inducers (strong),4
Non-Selective Calcium Channel Blockers,4
"Phospholipases A, antagonists & inhibitors",4
Prostaglandins F,4
Monoamine Oxidase A Inhibitors,4
UGT2B7 inducers,4
"Thromboxane-A Synthase, antagonists & inhibitors",4
Dopa and Dopa Derivatives,4
Hydrazinophthalazine Derivatives,4
Bodily Secretions,4
Glucagon-Like Peptide 1,4
Amyloid,4
Amyloidogenic Proteins,4
Inhibition Large Intestine Fluid/Electrolyte Absorption,4
Calculi Dissolution Agent,4
Salt Solutions,4
Bile Acid Preparations,4
Antianemia Drugs,4
Nitrates,4
Sulfhydryl Reagents,4
Formates,4
"Glycogen Synthase Kinase 3, antagonists & inhibitors",4
Cytokinins,4
Chlorophyll,4
Organoselenium Compounds,4
"Receptors, AMPA, antagonists & inhibitors",4
Emollients and Protectives,4
Protectives Against UV-Radiation,4
"Biomarkers, Tumor",4
Pentoses,4
Equipment and Supplies,4
Surgical Equipment,4
Surgical Fixation Devices,4
Affinity Labels,4
Umbelliferones,4
Fixatives,4
Gallium,4
Food Preservatives,4
Nitrogen Binding Agent,4
Urea Cycle Disorder Agents,4
"Leukocyte Elastase, antagonists & inhibitors",4
"Calcium-Calmodulin-Dependent Protein Kinases, antagonists & inhibitors",4
Naphthalenesulfonates,4
Phosphoamino Acids,4
Arachidonic Acids,4
Aziridines,4
Antispermatogenic Agents,4
Oxysterols,4
Cytotoxins,4
Hydroxyquinoline Derivatives,4
CCR5 Receptor Antagonists,4
Vascular endothelial growth factor receptor (VEGFR) tyrosine kinase inhibitors,4
Thymus Hormones,4
Immunization,4
Serotonin 5-HT4 Receptor Agonists,4
"Polysaccharides, Bacterial",4
Adenosine A2 Receptor Agonists,4
Snake Venoms,4
Viper Venoms,4
"Protein-Serine-Threonine Kinases, antagonists & inhibitors",4
"PPAR alpha, agonists",4
Mitogen-activated protein kinase (MEK) inhibitors,4
Metalloproteins,4
Kallikrein Inhibitors,4
"Kallikreins, antagonists & inhibitors",4
Thrombopoietin Receptor Agonist,4
Antibacterial monoclonal antibodies,4
Endothelin A Receptor Antagonists,4
"Receptors, N-Methyl-D-Aspartate, antagonists & inhibitors",4
Arthropod Venoms,4
"ErbB Receptors, antagonists & inhibitors",4
Phospholipase A2 Inhibitors,4
Chemotactic Factors,4
Nanoparticles,4
"Receptor, ErbB-2, antagonists & inhibitors",4
"Receptor Protein-Tyrosine Kinases, antagonists & inhibitors",4
"Receptors, Opioid, delta, agonists",4
Diarylheptanoids,4
Heptanes,4
Organic Anion Transporter 1 Inhibitors,4
Carbon-Oxygen Lyases,4
Polysaccharide-Lyases,4
Ferrous Compounds,4
Protein Kinases,4
"Receptors, Growth Factor",4
"Receptors, Vascular Endothelial Growth Factor, antagonists & inhibitors",4
Receptor Tyrosine Kinase Inhibitors,4
Cyclohexylamines,4
Polyunsaturated Alkamides,4
Polyvinyls,4
Air Pollutants,4
"p38 Mitogen-Activated Protein Kinases, antagonists & inhibitors",4
Dichloroacetamide Derivatives,4
Surgical Aids,4
Sphingosine 1-phosphate Receptor Modulator,4
B-Raf serine-threonine kinase (BRAF) inhibitors,4
Ointments,4
Programmed Death Receptor-1-directed Antibody Interactions,4
Hepatic and Reticulo Endothelial System,4
Nuclear Proteins,4
Thyroid Diagnostic Radiopharmaceuticals,4
Caries Prophylactic Agents,4
Wound Healing,4
Colloids,4
Astringents and Deodorants,4
Inactivated Human Papillomavirus Vaccine,4
Live Attenuated Bacillus Calmette-Guerin Vaccine,4
Non-Standardized Plant Fiber Allergenic Extract,4
Non-Standardized Animal Dander Allergenic Extract,4
Increased Coagulation Factor Activity,4
"Janus Kinase 1, antagonists & inhibitors",4
Fibroblast growth factor receptor (FGFR) tyrosine kinase inhibitors,4
"Receptors, Fibroblast Growth Factor, antagonists & inhibitors",4
Antimutagenic Agents,4
Neutral Glycosphingolipids,4
Plant Proteins,4
"Anemia, Iron-Deficiency",4
Cycloheptanes,4
Pyrethrines,4
"Receptors, Antigen",4
Tocopherols,4
Probiotics,4
Small Interfering RNA,4
Transthyretin-directed RNA Interaction,4
"Vaccines, Subunit",4
Treatments for Ebola Virus Disease,4
EGFR (Epidermal Growth Factor Receptor) inhibitors,3
Epidermal Growth Factor Receptor Antagonist,3
HER1 Antagonists,3
ADP Ribose Transferases,3
Immunoglobulin Fc Fragments,3
Tissue Plasminogen Activator,3
"Urokinase-Type Plasminogen Activator, antagonists & inhibitors",3
Increased Myeloid Cell Production,3
Granulocyte-Macrophage Colony-Stimulating Factor,3
Asparaginase,3
Hemophilia A,3
Antidiuretic Agents,3
Factor VII,3
Amphibian Venoms,3
"Respiratory Agents, Miscellaneous",3
Recombinant Human Growth Hormone,3
Somatotropin Agonists,3
Indium (111In) Compounds,3
"Proteinase Inhibitory Proteins, Secretory",3
Interferon-beta,3
Aminohydrolases,3
Nucleoside Deaminases,3
Diluents,3
Vasoconstriction,3
CD20 (Clusters of Differentiation 20) inhibitors,3
Decreased Immunologic Activity,3
Yttrium Radioisotopes,3
"Botulinum Toxins, Type A",3
Enzyme Preparations,3
Tissue Extracts,3
Cyclosporins,3
Blood,3
Oncogene Proteins,3
Hydrolytic Lysosomal Neutral Glycosphingolipid-specific Enzyme,3
Somatostatin Receptor Agonists,3
Oxytocin and Analogues,3
Integrin Receptor Antagonist,3
"Antigens, Viral",3
Viral Structural Proteins,3
Vascular Endothelial Growth Factor Inhibitors,3
Lysine,3
Organic Acids,3
Glutamine,3
Xanthophylls,3
Glycine Agents,3
Esters,3
Angiotensin II Antagonists and Calcium Channel Blockers,3
Drugs Used in Nicotine Dependence,3
Ganglionic Stimulants,3
Smoking Cessation Agents,3
Aromatic L-amino Acid Decarboxylase Inhibitors,3
Anorexigenic Agents & Respiratory and CNS Stimulants,3
Neuromuscular Depolarizing Agents,3
Catecholamine-depleting Sympatholytic,3
Cytochrome P-450 CYP3A7 Inhibitors (weak),3
Gabapentinoids,3
Aminosalicylic Acids,3
Histamine Receptor Antagonists,3
Cytochrome P-450 CYP2C8 Inducers (strong),3
Cytochrome P-450 CYP3A7 Inducers (weak),3
UGT1A6 Substrates with a Narrow Therapeutic Index,3
Cytochrome P-450 CYP2E1 Inhibitors (moderate),3
Cytochrome P-450 CYP3A7 Inducers (strong),3
Cephamycins,3
Respiratory Smooth Muscle Relaxants,3
Norepinephrine Reuptake Inhibitor,3
"Thymidylate Synthase, antagonists & inhibitors",3
Intravaginal Contraceptives,3
Tenofovir and prodrugs,3
Decreased Fibrinolysis,3
Indolequinones,3
Retinoids for cancer treatment,3
Thiazide-like Diuretic,3
Ergotamine Derivative,3
Nitrophenols,3
Selective Calcium Channel Blockers With Direct Cardiac Effects,3
Selective Alfa-1-adrenergic Blocking Agents,3
Oxazolidine Derivatives,3
Thiopurine Analogs,3
Ethanolamine Derivatives,3
Thiadiazoles,3
Prostaglandins I,3
Bile-acid Binding Activity,3
Nasal Decongestants for Systemic Use,3
Corpus Luteum Hormones,3
Antifungals for Systemic Use,3
Central Nervous System Depression,3
Herpes Simplex Virus Nucleoside Analog DNA Polymerase Inhibitor,3
Preparations Inhibiting Uric Acid Production,3
Xanthine Oxidase Inhibitors,3
Trimethoprim and Derivatives,3
Photoabsorption,3
Photosensitizing Activity,3
Miscellaneous Antiemetics,3
Estrogen Agonist-antagonists,3
Tests for Pancreatic Function,3
Quinazolinones,3
Pyridinium Compounds,3
Decreased Protein Synthesis,3
Thiouracils,3
Psoralens for Systemic Use,3
Sialic Acids,3
Central Alpha-agonists,3
"Antimigraine Agents, Miscellaneous",3
UGT2B17 Inhibitors,3
Succinimide Derivatives,3
Salicylamides,3
Depigmenting Agents,3
Melanin Synthesis Inhibitors,3
Oxazolidinone Antibacterial,3
Hydroxyprogesterones,3
Pregnen (4) Derivatives,3
Thiocarbamide Derivatives,3
Rifamycin Antimycobacterial,3
3-Oxoandrosten (4) Derivatives,3
Clofibric Acid,3
Polyene Antifungal,3
Folate Analog,3
Benzomorphan Derivatives,3
Serotonin antagonist and reuptake inhibitors (SARIs),3
Emesis Suppression,3
Biomimetic Materials,3
Nitrate Vasodilator,3
Miscellaneous Antiprotozoals,3
"Corticosteroids, Weak (Group I)",3
"Diuretics, Osmotic",3
Siderophores,3
"Estrogens, agonists",3
Phenobarbital and similars,3
Dopamine D1 Receptor Agonists,3
Polymyxins,3
Non-selective Beta-adrenergic Agonists,3
Carbolines,3
Basic Lotions and Liniments,3
Other Cold and Cough Preparations,3
Mercaptoethylamines,3
Triazenes,3
Norepinephrine Releasing Agents,3
Levulinic Acids,3
"Sympathomimetics, Labour Repressants",3
mTOR Inhibitors,3
Mouthwashes,3
"Ovulation Stimulants, Synthetic",3
meta-Aminobenzoates,3
Indazoles,3
Bibenzyls,3
Dihydrostilbenoids,3
Dextrans,3
Phenoxyacetates,3
"Prostaglandins E, Synthetic",3
Melatonin Receptor Agonists,3
Nandrolone and esters,3
Organogold Compounds,3
Reversed Anticoagulation Activity,3
Preparations With No Effect on Uric Acid Metabolism,3
Fibric Acid Derivatives,3
Peroxisome Proliferator Receptor alpha Agonist,3
Rifamycin Antibacterial,3
Chloride Channel Agonists,3
Heptanoic Acids,3
Cryoprotective Agents,3
Flavanones,3
Diphenylbutylpiperidine Derivatives,3
Piperidinedione Derivatives,3
Heparin Group,3
Papaverine and Derivatives,3
Cytochrome P-450 CYP2E1 Inducers (weak),3
Prokinetic Agents,3
Lincosamides,3
Curare Alkaloids,3
Taxane Derivatives,3
Complement C5 inhibitors,3
Human epidermal growth factor receptor 2 (HER2) tyrosine kinase inhibitors,3
Sulfatases,3
Insulin-like growth factor,3
Somatomedins,3
Cation Exchange Resins,3
Ion Exchange Resins,3
Potassium Binder,3
Potassium-removing Agents,3
Araliaceae,3
Antigonadotropins and Similar Agents,3
Fourth-Generation Cephalosporins,3
Hydroxybutyrates,3
Cyclopropanes,3
Methylglycosides,3
Thymine Nucleotides,3
Medicated Shampoos,3
Bornanes,3
Nucleoside Diphosphate Sugars,3
Uridine Diphosphate,3
Uridine Diphosphate Sugars,3
Palmitic Acids,3
Butanols,3
Phenanthridines,3
"Platelet Activating Factor, antagonists & inhibitors",3
Epitopes,3
Haptens,3
"Glycoside Hydrolases, antagonists & inhibitors",3
Cyclic AMP,3
"Carnitine O-Palmitoyltransferase, antagonists & inhibitors",3
OATP1B1/SLCO1B1 Inducers,3
Oxadiazoles,3
"Glycogen Phosphorylase, antagonists & inhibitors",3
Inositol Phosphates,3
Heme,3
Mitogens,3
Ammonium Ion Binding Activity,3
"Heme Oxygenase (Decyclizing), antagonists & inhibitors",3
Provitamins,3
Methylamines,3
Ethylene Imines,3
Spermatocidal Agents,3
Preparations Containing Sulfur,3
Phenolphthaleins,3
Vesicular Monoamine Transporter 2 Inhibitor,3
Vesicular Monoamine Transporter 2 Inhibitors,3
"Hypoxia-Inducible Factor-Proline Dioxygenases, antagonists & inhibitors",3
"Receptors, Calcitonin Gene-Related Peptide, antagonists & inhibitors",3
Lipoglycopeptide Antibacterial,3
Myelin Proteins,3
"Pyrethrines, Incl. Synthetic Compounds",3
Pyrethrins,3
"Aptamers, Nucleotide",3
Endotoxins,3
Lipopolysaccharides,3
Increased Cellular Death,3
Cytochrome P-450 CYP1A2 Inducers (weak),3
Bradykinin Receptor Antagonists,3
"11-beta-Hydroxysteroid Dehydrogenase Type 1, antagonists & inhibitors",3
Neuroactive Steroid Gamma-Aminobutyric Acid A Receptor Positive Modulator,3
"PPAR delta, agonists",3
"MAP Kinase Kinase 1, antagonists & inhibitors",3
Virus Neutralization,3
Plasma Kallikrein Inhibitor,3
Gene Transfer Techniques,3
Glycosyltransferases,3
Pentosyltransferases,3
Endothelin B Receptor Antagonists,3
Iodine Products,3
Whey Proteins,3
"Receptors, CXCR4, antagonists & inhibitors",3
"DNA, Antisense",3
"Oligodeoxyribonucleotides, Antisense",3
Gluconates,3
Phosphoric Monoester Hydrolases,3
"Receptors, Neurokinin-3, antagonists & inhibitors",3
"Vascular Endothelial Growth Factor Receptor-2, antagonists & inhibitors",3
Chemokines,3
Genetic Phenomena,3
Genetic Structures,3
Deuterium,3
Dopamine D2 Receptor Agonists,3
Leucomycins,3
2-Amino-1-Phenylethanol Derivatives,3
Bile Salt Export Pump Inhibitors,3
Cancer Vaccines,3
HIV Reverse Transcriptase,3
Interleukin-6 Receptor Antagonist,3
Molecular Chaperones,3
Alveolar Surface Tension Reduction,3
Surfactant Activity,3
"Receptors, Death Domain",3
"Mitogen-Activated Protein Kinase 14, antagonists & inhibitors",3
Iodides,3
Quinolizidine Alkaloids,3
Quinolizidines,3
Chondroitin,3
Metal Chelating Activity,3
Anticestodals,3
Environmental Pollutants,3
"HIV Reverse Transcriptase, antagonists & inhibitors",3
Resorcinols,3
Oxidation-Reduction Agent,3
"Diabetes Mellitus, Type 2, drug therapy",3
Chloroacetates,3
Hedgehog Pathway Inhibitor,3
Hedgehog pathway inhibitors,3
Smoothened Receptor Antagonists,3
Leukotrienes,3
Exopeptidases,3
Orexin Receptor Antagonists,3
Cyclin-dependent kinase (CDK) inhibitors,3
Skeleton,3
Chalcogens,3
Nucleoproteins,3
Technetium Compounds,3
"Receptors, G-Protein-Coupled",3
"Receptors, Gastrointestinal Hormone",3
PCSK9 Inhibitor,3
Xenon Isotopes,3
Renal System,3
Emollients,3
Haemophilus Vaccines,3
Inactivated Haemophilus Influenzae B Vaccine,3
Non-Standardized Insect Venom Allergenic Extract,3
Plant Gums,3
Allogeneic Cultured Cell Scaffold,3
Inactivated Poliovirus Vaccine,3
Viral Hepatitis Vaccines,3
"Vaccines, Inactivated",3
Tars,3
Acridine Derivatives,3
TGF-beta Superfamily Proteins,3
"Receptor, Melanocortin, Type 4, agonists",3
Triglycerides,3
"fms-Like Tyrosine Kinase 3, antagonists & inhibitors",3
Interleukin-23 Subunit p19,3
"Fibroblast Growth Factor 2, antagonists & inhibitors",3
Microfilament Proteins,3
Amyloid Beta-directed Antibodies,3
Isocyanates,3
N-Glycosyl Hydrolases,3
Plant Lectins,3
Ribosome Inactivating Proteins,3
"Receptors, Opioid, kappa, agonists",3
Cyanobacteria Toxins,3
"Synthetic Antispasmodics, Amides With Tertiary Amines",3
Polycyclic Sesquiterpenes,3
"Sesquiterpenes, Eudesmane",3
"Antigens, Differentiation",3
Monokines,3
Apiaceae,3
Rosaceae,3
Rosales,3
"Administration, Topical",3
Isocitrate dehydrogenase-1 (IDH1) inhibitors,3
Lectins,3
"Vaccines, Acellular",3
Beta-Globulins,3
Autologous Hematopoietic Stem Cell-Based Gene Therapy,3
Respiratory syncytial virus (RSV) vaccines,3
Decreased Respiratory Secretion Viscosity,2
"Immunoglobulins, Intravenous",2
Arginine Vasopressin,2
Antihypoglycemic Agent,2
Glycogenolytic Hormones,2
Increased Glycogenolysis,2
Collagenases,2
"Microbial Collagenase, antagonists & inhibitors",2
Uric Acid-specific Enzyme,2
Calicheamicins,2
Alpha-Globulins,2
Recombinant Human Interferon beta,2
Blood Derivatives,2
Human Serum Albumin,2
Follicle Stimulating Hormone,2
HER2/Neu/cerbB2 Antagonists,2
"Antibodies, Monoclonal, Murine-Derived",2
Interleukin 2 Receptor-directed Antibody Interactions,2
Interleukin-2 Receptor Antagonist,2
Interleukin-2 Receptor Blocking Antibody,2
CD20-directed Radiotherapeutic Antibody,2
"Lymphoma, B-Cell",2
Various Therapeutic Radiopharmaceuticals,2
Cyclic Lipopeptides,2
Acromegaly,2
Lipase,2
Antibody-Surface Protein Interactions,2
Increased T Lymphocyte Destruction,2
Lymphocyte Function Alteration,2
Proto-Oncogene Proteins,2
Protein Isoforms,2
"env Gene Products, Human Immunodeficiency Virus",2
Fusion Protein Inhibitors,2
"Gene Products, env",2
HIV Antigens,2
Human Immunodeficiency Virus Proteins,2
Membrane Fusion Proteins,2
Retroviridae Proteins,2
Viral Envelope Proteins,2
Viral Fusion Proteins,2
Respiratory Syncytial Virus Anti-F Protein Monoclonal Antibody,2
VEGF/VEGFR (Vascular Endothelial Growth Factor) inhibitors,2
"Vitamin B 12, biosynthesis",2
Lipotropic Agents,2
Pituitary Function,2
Disulfides,2
Nutritional Support,2
"Vitamin E, analogs & derivatives",2
Angiotensin II Antagonists and Diuretics,2
GABA-B Receptor Agonists,2
gamma-Aminobutyric Acid-ergic Agonist,2
Miscellaneous Autonomic Drugs,2
"Nicotine, antagonists & inhibitors",2
Chlorohydrins,2
Dimethylamines,2
Beta-adrenergic Agents,2
Respiratory and CNS Stimulants,2
Decreased Sympathetic Activity,2
Thienopyridines,2
Purine Antimetabolite,2
Ethers of Tropine or Tropine Derivatives,2
Lysergic Acid,2
Phenytoin and Prodrugs,2
OATP1B3 inducers,2
l-Triiodothyronine,2
Trisaccharides,2
"Estrogens, Conjugated (USP)",2
Mitomycins,2
UGT1A3 Substrates with a Narrow Therapeutic Index,2
Acetaminophen and Prodrugs,2
Atropine Derivatives,2
QTc shortening agents,2
Calcium Channel Blockers (Nondihydropyridine),2
Miscellaneous Calcium-channel Blocking Agents,2
Hippurates,2
Prostatic Hyperplasia,2
Arteriolar Vasodilation,2
Arteriolar Vasodilator,2
Appetite Stimulants,2
Monobactams,2
Benzoxazoles and derivatives,2
"Oxazol, Thiazine, and Triazine Derivatives",2
Antimalarial methanolquinolines,2
Phenylalanine Hydroxylase Activators,2
Inhibit Ovum Fertilization,2
Progestin-containing Intrauterine Device,2
"Norepinephrine, antagonists & inhibitors",2
Cytosine,2
Prostacycline Vasodilator,2
Anion Exchange Resins,2
Calcium Channel Blockers and Diuretics,2
Decreased Renal K+ Excretion,2
Epithelial Sodium Channel Blockers,2
Sulfur-Containing Imidazole Derivatives,2
Decreased Mitosis,2
Zopiclone and prodrugs,2
Miscellaneous Antifungals,2
Dibenzoxazepines,2
Miscellaneous Antipsychotics,2
Epoxy Compounds,2
Choline Esters,2
Peroxisome Proliferator Receptor gamma Agonist,2
Peroxisome Proliferator-activated Receptor Activity,2
Aminopenicillins,2
Natural Penicillins,2
Glucosylceramide Synthase Inhibitor,2
Glucosylceramide Synthase Inhibitors,2
Mineralocorticoid (Aldosterone) Receptor Antagonists,2
Methylphenidate and isomer,2
"Belladonna Alkaloids, Tertiary Amines",2
Chlorine Containing Products,2
Schizophrenia,2
Gasotransmitters,2
Nitrogen Oxides,2
Reactive Nitrogen Species,2
"Ribonucleotide Reductases, antagonists & inhibitors",2
Podophyllotoxin Derivatives,2
Amphenicols,2
Loratadine and derivatives,2
Retinoids for Treatment of Psoriasis,2
Photoenhancer,2
Butanones,2
GABA-A Receptor Antagonists,2
Herbs (Hypotensive Properties),2
Leukotriene Modifiers,2
Adamantanes,2
Cyclic Amines,2
Influenza A M2 Protein Inhibitor,2
M2 Protein Inhibitors,2
Thalidomide Analog,2
Cyclooxygenase-2 (COX-2) Inhibitors,2
Phosphinic Acids,2
Decreased Sebaceous Gland Activity,2
Thiouracil,2
Thyroid Hormone Synthesis Inhibitor,2
Thyroid Hormone Synthesis Inhibitors,2
Adenosine Deaminase Inhibitors,2
Photoactivated Radical Generator,2
Psoralens for Topical Use,2
Microspheres,2
Diphenylmethane Derivatives,2
Miscellaneous Anticoagulants,2
Sulfathiazoles,2
Acyclovir and prodrug,2
Herpes Zoster Virus Nucleoside Analog DNA Polymerase Inhibitor,2
Acidifying Activity,2
Ammonia Detoxicants,2
Decreased Prostaglandin Production,2
Piperazine and Derivatives,2
Alpha and Beta Blocking Agents,2
Thiobarbiturates,2
"Receptors, AMPA",2
Filaricides,2
Morphinan Derivatives,2
Opioid Agonist/Antagonist,2
Miscellaneous Antilipemic Agents,2
Prednisolone and Prodrugs,2
Formyltetrahydrofolates,2
Tetrahydrofolates,2
Benzomorphans,2
"Antidepressive Agents, Triazolopyridine",2
"Antiadrenergic Agents, Ganglion-Blocking",2
Decreased Autonomic Ganglionic Activity,2
Polystyrene Sulfonates,2
Verapamil and analogues,2
Aprepitant and Prodrugs,2
Amaryllidaceae Alkaloids,2
Liposomes,2
"Membranes, Artificial",2
Vitamin K Inhibitors,2
Antimetabolite Immunosuppressant,2
Mycophenolic Acid and Prodrugs,2
Imidazoline Derivatives,2
Colouring Agents,2
Ocular Disorders,2
High-Ceiling Diuretics and Potassium-Sparing Agents,2
Amprenavir and Prodrugs,2
