Category,Drug Count
Sugar Phosphates,26
Interleukin Inhibitors,25
Other Miscellaneous Therapeutic Agents,25
Platelet Aggregation Inhibitors Excl. Heparin,25
Fats,25
Cytochrome P-450 CYP3A7 Inhibitors (strength unknown),25
Anticholesteremic Agents,25
Cytochrome P-450 CYP2C19 Substrates with a Narrow Therapeutic Index,25
Cholinesterase substrates,25
Cytochrome P-450 CYP2C9 Inhibitors (weak),25
Thyroxine-binding globulin inducers,25
Sulfonamides and trimethoprim,25
Coumarins,25
Mitosis Modulators,25
Interleukins,24
Tumor Necrosis Factor Blockers,24
Fibrinolytic Agents,24
Colony-Stimulating Factors,24
"Pituitary Hormones, Anterior",24
Antigout Preparations,24
Peptide Fragments,24
Vitamin D and Analogues,24
Anticarcinogenic Agents,24
Hypolipidemic Agents Indicated for Hyperlipidemia,24
Acetamides,24
Genitourinary Agents,24
Cytochrome P-450 CYP1A2 Inhibitors (weak),24
Imides,24
Oxides,24
Cannabinoids and similars,24
Selenium Compounds,24
Interferons,23
Glycoside Hydrolases,23
Neuromuscular Blocking Agents,23
Secosteroids,23
Various Alimentary Tract and Metabolism Products,23
Urological Agents,23
Phenylacetates,23
Nitriles,23
Miscellaneous Local Anti-infectives,23
Antimitotic Agents,23
"Antidepressive Agents, Tricyclic",23
Furans,23
Xanthenes,23
Silicon Compounds,23
Osmotic Laxatives,23
Anabolic Agents,23
Hydroxycorticosteroids,23
Radioisotopes,23
Allergenic Extracts,23
Immunoglobulin Fragments,22
Antibody-drug Conjugates,22
Pterins,22
Keto Acids,22
I.V. Solution Additives,22
Glycerophosphates,22
Tropanes,22
"Synthetic Anticholinergics, Quaternary Ammonium Compounds",22
Antipsychotic Agents (Second Generation [Atypical]),22
Cytochrome P-450 CYP2C8 Substrates with a Narrow Therapeutic Index,22
UGT1A9 Inhibitors,22
Antiinfectives and Antiseptics for Local Oral Treatment,22
"Antipruritics, Incl. Antihistamines, Anesthetics, Etc.",22
Glycosaminoglycans,22
Alkanesulfonic Acids,22
Antivirals for treatment of HCV infections,22
Testosterone and derivatives,22
Replacement Preparations,22
Potassium Salt,22
Azetines,22
Alkalies,22
Hematopoietic Cell Growth Factors,21
"Muscle Relaxants, Peripherally Acting Agents",21
Hormone Antagonists and Related Agents,21
Proteinogenic Amino Acids,21
Bile and Liver Therapy,21
Phosphatidic Acids,21
Sweetening Agents,21
Drugs Affecting Bone Structure and Mineralization,21
Drugs for Treatment of Bone Diseases,21
Benzodiazepine hypnotics and sedatives,21
Opioid Agonist,21
Steroid Synthesis Inhibitors,21
Selective Beta 2-adrenergic Agonists,21
"Corticosteroids, Potent (Group III)",21
Combination Contraceptives (with Estrogen and derivatives),21
Progestin Contraceptives,21
Tubulin Modulators,21
Non-Selective Monoamine Reuptake Inhibitors,21
Antipsychotic Agents (First Generation [Typical]),21
Gases,21
Opioid Antagonists,21
Intestinal Antiinfectives,21
Solvents,21
Acrylates,21
Phosphate salts,21
Dioxoles,21
Esterases,20
Venoms,20
Immune Sera and Immunoglobulins,20
Nootropic Agents,20
Dietary Fats,20
"Dietary Fats, Unsaturated",20
Glycerophospholipids,20
Retinoids,20
Adrenals,20
Benzodiazepinones,20
Phenoxypropanolamines,20
Purinergic Agents,20
para-Aminobenzoates,20
Salicylates,20
Antivirals used in combination for the treatment of HIV infections,20
Voltage-Gated Sodium Channel Blockers,20
Arylsulfonic Acids,20
Mustard Compounds,20
"Adjuvants, Anesthesia",20
MATE 2 Substrates,20
Decongestants and Antiallergics,20
Estrogen Antagonists,20
Aluminium Compounds,20
Anthracyclines,20
"Hydrocarbons, Chlorinated",20
"Corticosteroids for Systemic Use, Plain",20
Selective Cyclooxygenase 2 Inhibitors (NSAIDs),20
Prodrugs,20
Iron Preparations,20
Antacids,20
Zinc Compounds,20
Antithrombins,19
Immunoglobulin Isotypes,19
Hematinics,19
Hexosamines,19
Irrigating Solutions,19
Thiophenes,19
Flavoring Agents,19
Selective Serotonin Reuptake Inhibitors,19
Parasympathomimetics,19
NMDA Receptor Antagonists,19
Imidazole and Triazole Derivatives,19
Folic Acid Antagonists,19
Cytochrome P-450 CYP3A Inducers (strong),19
Decreased Central Nervous System Disorganized Electrical Activity,19
Alkylating Activity,19
Triiodobenzoic Acids,19
"Antiarrhythmics, Class I",19
"Prostaglandins, Synthetic",19
Penicillin G,19
Penicillins With Extended Spectrum,19
Other Nonsteroidal Anti-inflammatory Agents,19
"EENT Drugs, Miscellaneous",19
"Ethers, Cyclic",19
Propylene Glycols,19
Magnesium Compounds,19
Disinfectants,19
Bile Acids and Salts,19
Cholanes,19
Nucleic Acids,19
Enzyme Precursors,18
Cytochrome P-450 CYP2E1 Inhibitors (weak),18
"Antidepressive Agents, Second-Generation",18
Aminobutyrates,18
Boron Compounds,18
Hydrazines,18
"Antiobesity Preparations, Excl. Diet Products",18
Opiate Agonists,18
Sympatholytics,18
"Macrolides, Lincosamides and Streptogramins",18
Acid Reducers,18
