Name,DrugBank ID (Primary),Type,Groups,Categories,has_dosing,Frequency,Times Per Day,Routes,Dosing Source,Interaction Count,Food Interaction Count,Has Description,Has Mechanism,Has Absorption,Has Metabolism,Has Half Life
2-Hydroxyestradiol,DB07706,small molecule,experimental,"Estradiol Congeners; Estranes; Estrenes; Estrogens, Catechol; Fused-Ring Compounds",No,,,,,0,0,Yes,No,No,No,No
"(9BETA,11ALPHA,13ALPHA,14BETA,17ALPHA)-11-(METHOXYMETHYL)ESTRA-1(10),2,4-TRIENE-3,17-DIOL",DB07707,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
3-CHLORO-2-(4-HYDROXYPHENYL)-2H-INDAZOL-5-OL,DB07708,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
PHENYLALANYLAMINODI(ETHYLOXY)ETHYL BENZENESULFONAMIDEAMINOCARBONYLBENZENESULFONAMIDE,DB07710,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"(2S,3R)-3-(6-amino-9H-purin-9-yl)nonan-2-ol",DB07711,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
3-ETHYL-2-(4-HYDROXYPHENYL)-2H-INDAZOL-5-OL,DB07712,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"(1S)-1-{[(4'-methoxy-1,1'-biphenyl-4-yl)sulfonyl]amino}-2-methylpropylphosphonic acid",DB07713,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"6-(3-METHYL-1,4-DIOXO-1,4-DIHYDRONAPHTHALEN-2-YL)HEXANOIC ACID",DB07714,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Emodin,DB07715,small molecule,investigational,Anthracenes; Anthraquinones; Biological Products; Enzyme Inhibitors; Gastrointestinal Agents,No,,,,,400,0,Yes,No,No,No,No
"(4Z)-2,8:7,12:11,15:14,18:17,22-PENTAANHYDRO-4,5,6,9,10,13,19,20,21-NONADEOXY-D-ARABINO-D-ALLO-D-ALLO-DOCOSA-4,9,20-TRIENITOL",DB07716,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"(5S,8R,9S,10S,13R,14S,17S)-13-{2-[(3,5-DIFLUOROBENZYL)OXY]ETHYL}-17-HYDROXY-10-METHYLHEXADECAHYDRO-3H-CYCLOPENTA[A]PHENANTHREN-3-ONE",DB07717,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
4-Hydroxyphenylpyruvic acid,DB07718,small molecule,experimental,"Acids, Carbocyclic; Keto Acids; Pyruvates",No,,,,,0,0,No,No,No,No,No
"[(3R)-3-(Methylcarbamoyl)-2-{[(2-methyl-2-propanyl)oxy]carbonyl}-1,2,3,4-tetrahydro-7-isoquinolinyl]sulfamic acid",DB07719,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Epibatidine,DB07720,small molecule,experimental,"Analgesics; Analgesics, Non-Narcotic; Central Nervous System Agents; Cholinergic Agents; Cholinergic Agonists",No,,,,,121,0,No,No,No,No,No
DIETHYL 4-METHOXYPHENYL PHOSPHATE,DB07721,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
3-(4-NITRO-PHENOXY)-PROPAN-1-OL,DB07722,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
3-(5-methoxy-1H-indol-3-yl)propanoic acid,DB07723,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Indeglitazar,DB07724,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
