Name,DrugBank ID (Primary),Type,Groups,Categories,has_dosing,Frequency,Times Per Day,Routes,Dosing Source,Interaction Count,Food Interaction Count,Has Description,Has Mechanism,Has Absorption,Has Metabolism,Has Half Life
2-[(Dioxidophosphoranyl)oxy]benzoate,DB04340,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
S-(3-Iodobenzyl)glutathione,DB04341,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
7-((Carboxy(4-Hydroxyphenyl)Acetyl)Amino)-7-Methoxy-(3-((1-Methyl-1h-Tetrazol-5-Yl)Thio)Methyl)-8-Oxo-5-Oxa-1-Azabicyclo[4.2.0]Oct-2-Ene-2-Carboxylic Acid,DB04342,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Glyoxylic acid,DB04343,small molecule,experimental,"Acids, Aldehydic",No,,,,,0,0,No,No,No,No,No
Lumichrome,DB04345,small molecule,experimental,"Biological Factors; Coenzymes; Enzymes and Coenzymes; Heterocyclic Compounds, Fused-Ring; Pigments, Biological",No,,,,,0,0,No,No,No,No,No
"(2r,4s)-2-Methyl-2,3,3,4-Tetrahydroxytetrahydrofuran",DB04346,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
3-Dehydroshikimate,DB04347,small molecule,experimental,"Acids, Carbocyclic; Cyclohexanecarboxylic Acids; Cyclohexanes; Cyclohexenes; Cycloparaffins",No,,,,,0,0,No,No,No,No,No
Taurocholic acid,DB04348,small molecule,approved; experimental,"Acids; Acids, Noncarboxylic; Alkanes; Alkanesulfonic Acids; BCRP/ABCG2 Inhibitors",Yes,,,Oral,DrugBank text extraction,556,0,Yes,No,No,No,No
"(S)-propane-1,2-diol",DB04349,small molecule,experimental,,No,,,,,0,0,Yes,No,No,No,No
Argadin,DB04350,small molecule,experimental,"Amino Acids, Peptides, and Proteins; Peptides",No,,,,,0,0,No,No,No,No,No
Aconitate Ion,DB04351,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
beta-D-Ribose-5-phosphate,DB04352,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"Tert-butyl N-[(2S,5R)-6-[[(2S)-5-amino-1-[[(2S)-1-amino-1-oxo-3-phenylpropan-2-yl]amino]-1,5-dioxopentan-2-yl]amino]-5-benzyl-3,6-dioxo-1-phenylhexan-2-yl]carbamate",DB04353,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
9-Deazaguanine,DB04356,small molecule,experimental,"Cytochrome P-450 CYP1A2 Substrates; Cytochrome P-450 Substrates; Heterocyclic Compounds, Fused-Ring; Purines; Purinones",No,,,,,605,0,No,No,No,No,No
Pteric acid,DB04357,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Vinylsulfonic acid,DB04359,small molecule,experimental,"Acids; Acids, Noncarboxylic; Alkenes; Hydrocarbons, Acyclic; Phosphogluconate Dehydrogenase, antagonists & inhibitors",No,,,,,0,0,No,No,No,No,No
Benzo[B]Thiophene-2-Boronic Acid,DB04360,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Methyldiazene,DB04361,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Adenosine Diphosphate 5-(Beta-Ethyl)-4-Methyl-Thiazole-2-Carboxylic Acid,DB04362,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Mesobiliverdin IV alpha,DB04363,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
(R)-acetoin,DB04364,small molecule,experimental,,No,,,,,0,0,Yes,No,No,No,No
Arecoline,DB04365,small molecule,experimental,Alkaloids; Cholinergic Agents; Cholinergic Agonists; Neurotransmitter Agents; Nicotinic Acids,No,,,,,121,0,Yes,No,No,No,No
3'-Deoxy 3'-Amino Adenosine-5'-Diphosphate,DB04366,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Debromohymenialdisine,DB04367,small molecule,experimental,"Protein Kinase C, antagonists & inhibitors",No,,,,,0,0,No,No,No,No,No
Bb-3497,DB04368,small molecule,experimental,Amines; Hydroxy Acids; Hydroxylamines,No,,,,,0,0,No,No,No,No,No
"1,3,2-Dioxaborolan-2-Ol",DB04369,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
S-sulphocysteine,DB04370,small molecule,experimental,"Amino Acids; Amino Acids, Neutral; Amino Acids, Peptides, and Proteins; Amino Acids, Sulfur; Sulfhydryl Compounds",No,,,,,0,0,No,No,No,No,No
AL6528,DB04371,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
L-Dilinoleoyllecithin,DB04372,small molecule,experimental,Glycerophosphates; Glycerophospholipids; Lipids; Membrane Lipids; Phosphatidic Acids,No,,,,,0,0,No,No,No,No,No
"4-Amino-N-{4-[2-(2,6-Dimethyl-Phenoxy)-Acetylamino]-3-Hydroxy-1-Isobutyl-5-Phenyl-Pentyl}-Benzamide",DB04373,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"4-Carboxy-5-(1-Pentyl)Hexylsulfanyl-1,2,3-Triazole",DB04374,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
13-Acetylphorbol,DB04376,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Meglutol,DB04377,small molecule,experimental,"Acids, Acyclic; Anticholesteremic Agents; Antimetabolites; Dicarboxylic Acids; Enzyme Inhibitors",Yes,,,,DrugBank text extraction,0,0,Yes,No,No,No,No
"3-Amino-N-{4-[2-(2,6-Dimethyl-Phenoxy)-Acetylamino]-3-Hydroxy-1-Isobutyl-5-Phenyl-Pentyl}-Benzamide",DB04378,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
N-Methyl-N-(Methylbenzyl)Formamide,DB04379,small molecule,experimental,Cytochrome P-450 CYP2E1 Substrates; Cytochrome P-450 Substrates,No,,,,,0,0,No,No,No,No,No
Allantoate,DB04380,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Crotonaldehyde,DB04381,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
2-Deoxy-alpha-D-galactopyranose,DB04382,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
L-valinol,DB04383,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Fe-Mesopone,DB04384,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
3-Deazacytidine,DB04385,small molecule,experimental,"Cytidine Deaminase, antagonists & inhibitors; Nucleic Acids, Nucleotides, and Nucleosides; Nucleosides; Pyrimidine Nucleosides; Pyrimidines",No,,,,,0,0,No,No,No,No,No
"4,6-O-(1-Carboxyethylidene)-Beta-D-Glucose",DB04386,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
1-Hydroxy-2-Amino-3-Cyclohexylpropane,DB04387,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
4-Carboxy-4-Aminobutanal,DB04388,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Ado-P-Ch2-P-Ps-Ado,DB04389,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Aeruginosin 98-B,DB04391,small molecule,experimental,"Amino Acids, Peptides, and Proteins; Peptides",No,,,,,0,0,No,No,No,No,No
"Bishydroxy[2h-1-Benzopyran-2-One,1,2-Benzopyrone]",DB04392,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Soneclosan,DB04393,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
3-Nitro-4-(2-Oxo-Pyrrolidin-1-Yl)-Benzenesulfonamide,DB04394,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Phosphoaminophosphonic Acid-Adenylate Ester,DB04395,small molecule,experimental,,No,,,,,0,0,Yes,No,No,No,No
Thiodigalactoside,DB04396,small molecule,experimental,Carbohydrates; Galactosides; Glycosides; Sulfur Compounds; Thioglycosides,No,,,,,0,0,Yes,No,No,No,No
Alpha-D-Glucose-1-Phosphate-6-Vanadate,DB04397,small molecule,experimental,Vanadates,No,,,,,0,0,No,No,No,No,No
Lactic acid,DB04398,small molecule,approved; vet_approved,Basic Ointments and Protectants; Genito Urinary System and Sex Hormones; Gynecological Antiinfectives and Antiseptics; Hydroxy Acids; Lactates,Yes,,,,OpenFDA,0,0,Yes,Yes,No,No,No
"L-erythro-7,8-dihydrobiopterin",DB04400,small molecule,experimental,"Coenzymes; Enzymes and Coenzymes; Heterocyclic Compounds, Fused-Ring; Pteridines; Pterins",No,,,,,0,0,Yes,No,No,No,No
Betaine aldehyde,DB04401,small molecule,experimental,Amines; Onium Compounds; Quaternary Ammonium Compounds; Trimethyl Ammonium Compounds,No,,,,,0,0,No,No,No,No,No
Allosamizoline,DB04404,small molecule,experimental,Amino Sugars; Carbohydrates; Chitinases; Hexosamines,No,,,,,0,0,No,No,No,No,No
"2-[2-(1,3-Dioxo-1,3-Dihydro-2h-Isoindol-2-Yl)Ethyl]-4-(4'-Ethoxy-1,1'-Biphenyl-4-Yl)-4-Oxobutanoic Acid",DB04405,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
3-(Phosphonomethyl)Pyridine-2-Carboxylic Acid,DB04406,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
4-[4-(4-Methyl-2-Methylamino-Thiazol-5-Yl)-Pyrimidin-2-Ylamino]-Phenol,DB04407,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Ncs-Chromophore,DB04408,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Naphthalene Trisulfonate,DB04409,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
3-Phenylpropylamine,DB04410,small molecule,experimental,Amines,No,,,,,0,0,No,No,No,No,No
Alpha-N-Dichloroacetyl-P-Aminophenylserinol,DB04411,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Heptamolybdate,DB04414,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
3-amino-1-chloro-4-phenyl-butanol-2-yl,DB04415,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"R-2-{[4'-Methoxy-(1,1'-Biphenyl)-4-Yl]-Sulfonyl}-Amino-6-Methoxy-Hex-4-Ynoic Acid",DB04416,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
P-Nitrophenol,DB04417,small molecule,experimental,Benzene Derivatives; Nitro Compounds; Phenols,No,,,,,0,0,No,No,No,No,No
Adenylosuccinic acid,DB04418,small molecule,experimental,"Adenine Nucleotides; Amino Acids; Amino Acids, Acidic; Amino Acids, Dicarboxylic; Amino Acids, Peptides, and Proteins",No,,,,,0,0,No,No,No,No,No
D-norleucine,DB04419,small molecule,experimental,,No,,,,,0,0,Yes,No,No,No,No
Nicotinamide adenine dinucleotide 3-pentanone adduct,DB04421,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Homocysteine,DB04422,small molecule,experimental,"Amino Acids; Amino Acids, Peptides, and Proteins; Amino Acids, Sulfur; Sulfur Compounds",No,,,,,0,0,Yes,No,No,No,No
Coproporphyrin I containing CO(III),DB04423,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
RPR128515,DB04424,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"7,8-Dihydroneopterin",DB04425,small molecule,experimental,"Coenzymes; Enzymes and Coenzymes; Heterocyclic Compounds, Fused-Ring; Pteridines; Pterins",No,,,,,0,0,No,No,No,No,No
Alpha-Methyl-N-Acetyl-D-Glucosamine,DB04426,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
N-{(3S)-1-[(Benzyloxy)sulfamoyl]-5-phenyl-3-pentanyl}-Nα-[(4-methyl-1-piperazinyl)carbonyl]-L-phenylalaninamide,DB04427,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
4'-Hydroxyflavanone,DB04429,small molecule,experimental,"Benzopyrans; Chromones; Flavonoids; Heterocyclic Compounds, Fused-Ring; Pyrans",No,,,,,0,0,No,No,No,No,No
3-(4-Phenylamino-Phenylamino)-2-(1h-Tetrazol-5-Yl)-Acrylonitrile,DB04430,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
4-epi-vancosaminyl derivative of vancomycin,DB04431,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
ZK-805623,DB04432,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Verpacamide A,DB04433,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Naphthyridine Inhibitor,DB04434,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
3-Fluoro-L-tyrosine,DB04436,small molecule,experimental,,No,,,,,0,0,Yes,No,No,No,No
"Cysteine-Methylene-Carbamoyl-1,10-Phenanthroline",DB04437,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Brivudine monophosphate,DB04438,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Modified Acarbose Pentasaccharide,DB04439,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Nebularine,DB04440,small molecule,experimental,"Anti-Infective Agents; Antineoplastic Agents; Heterocyclic Compounds, Fused-Ring; Nucleic Acids, Nucleotides, and Nucleosides; Nucleosides",No,,,,,39,0,No,No,No,No,No
2-Fluoroadenosine,DB04441,small molecule,experimental,"Heterocyclic Compounds, Fused-Ring; Nucleic Acids, Nucleotides, and Nucleosides; Nucleosides; Purine Nucleosides; Purines",No,,,,,0,0,No,No,No,No,No
"Imino[2-(2-oxo-1,2-dihydro-3-pyridinyl)-1H-benzimidazol-5-yl]methanaminium",DB04442,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Tetrafluoroaluminate Ion,DB04444,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Mercuric iodide,DB04445,small molecule,experimental,Anions; Antiseptics and Disinfectants; Dermatologicals; Electrolytes; Iodine Compounds,Yes,,,,OpenFDA,0,0,No,No,No,No,No
Benzo[B]Thiophene-2-Carboxamidine,DB04446,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"1,4-Dithiothreitol",DB04447,small molecule,experimental,,No,,,,,0,0,Yes,No,No,No,No
"2,4-Difluorobenzyl Alcohol 2,4-Difluoro-1-(Hydroxymethyl)Benzene",DB04448,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"5-(3,3-Dihydroxypropeny)-3-Methoxy-Benzene-1,2-Diol",DB04449,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Heptyl 1-Thiohexopyranoside,DB04450,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
4-Methylpiperazin-1-Yl Carbonyl Group,DB04451,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Aminoquinuride,DB04452,small molecule,experimental,Amides,No,,,,,0,0,No,No,No,No,No
"4-O-(4,6-Dideoxy-4-{[4-[(4-O-Hexopyranosylhexopyranosyl)Oxy]-5,6-Dihydroxy-3-(Hydroxymethyl)Cyclohex-2-En-1-Yl]Amino}Hexopyranosyl)Hexopyranose",DB04453,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Alpha-Aminobutyric Acid,DB04454,small molecule,experimental,"Acids, Acyclic; Amino Acids; Amino Acids, Peptides, and Proteins; Butyrates",No,,,,,0,0,No,No,No,No,No
"N,N,N-trimethylglycinium",DB04455,small molecule,experimental; investigational,,No,,,,,0,0,Yes,No,No,No,No
Arsenous acid,DB04456,small molecule,experimental; investigational,Anions; Arsenicals; Electrolytes; Ions,No,,,,,0,0,No,No,No,No,No
2'-Deoxyguanosine-5'-Monophosphate,DB04457,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"2,2-Dichloro-1-methanesulfinyl-3-methyl-cyclopropanecarboxylic acid [1-(4-bromo-phenyl)-ethyl]-amide",DB04458,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"3,4-Dichloroisocoumarin",DB04459,small molecule,experimental,"Benzopyrans; Coumarins; Enzyme Inhibitors; Heterocyclic Compounds, Fused-Ring; Pyrans",No,,,,,0,0,No,No,No,No,No
(C8-S)-Hydantocidin 5'-phosphate,DB04460,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Coproporphyrinogen III,DB04461,small molecule,experimental,"Heterocyclic Compounds, Fused-Ring; Porphyrinogens; Porphyrins",No,,,,,0,0,No,No,No,No,No
Tetrabromo-2-Benzotriazole,DB04462,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"3-(4-Amino-1-Tert-Butyl-1h-Pyrazolo[3,4-D]Pyrimidin-3-Yl)Phenol",DB04463,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
N-Formylmethionine,DB04464,small molecule,experimental,"Amino Acids; Amino Acids, Peptides, and Proteins; Amino Acids, Sulfur; Sulfur Compounds",No,,,,,0,0,Yes,No,No,No,No
Lactose,DB04465,small molecule,approved; experimental; investigational,"Carbohydrates; Compounds used in a research, industrial, or household setting; Diet, Food, and Nutrition; Disaccharides; Flavoring Agents",Yes,,,,OpenFDA,0,0,Yes,No,No,No,No
SR12813,DB04466,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
N-(5'-phosphopyridoxyl)-L-alanine,DB04467,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Afimoxifene,DB04468,small molecule,investigational,Androstanes; Androstenes; Androstenols; Antineoplastic Agents; Benzene Derivatives,No,,,,,41,0,Yes,Yes,Yes,No,No
"1-(4-Methoxyphenyl)-3,5-Dimethyl-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester",DB04469,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
CRA_10656,DB04470,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"2-Phenyl-1-[4-(2-Piperidin-1-Yl-Ethoxy)-Phenyl]-1,2,3,4-Tetrahydro-Isoquinolin-6-Ol",DB04471,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
(R)-1-Para-Nitro-Phenyl-2-Azido-Ethanol,DB04472,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
alpha-L-fucose,DB04473,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
8-anilinonaphthalene-1-sulfonic acid,DB04474,small molecule,experimental,Amines; Aniline Compounds; Arylsulfonates; Arylsulfonic Acids; Coloring Agents,No,,,,,0,0,No,No,No,No,No
"Trencam-3,2-Hopo",DB04476,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"2'-Deoxy-2'-[(3,5-dimethoxybenzoyl)amino]-N-[(1R)-1,2,3,4-tetrahydro-1-naphthalenyl]adenosine",DB04477,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"Cp-166572, 2-Hydroxymethyl-4-(4-N,N-Dimethylaminosulfonyl-1-Piperazino)-Pyrimidine",DB04478,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
4-Nitro-Inden-1-One,DB04479,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"3-(4-Fluorophenyl)-2-(6-Methylpyridin-2-Yl)-5,6-Dihydro-4h-Pyrrolo[1,2-B]Pyrazole",DB04480,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Erythritol,DB04481,small molecule,experimental,Alcohols; Carbohydrates; Cardiovascular Agents; Sugar Alcohols; Vasodilating Agents,No,,,,,0,0,Yes,No,No,No,No
Cmp-2-Keto-3-Deoxy-Octulosonic Acid,DB04482,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
2-deoxy-2-fluoro-β-D-mannose,DB04483,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
L-phenylalaninol,DB04484,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Thymidine,DB04485,small molecule,experimental; investigational,"Deoxyribonucleosides; Nucleic Acids, Nucleotides, and Nucleosides; Nucleosides; Pyrimidine Nucleosides; Pyrimidines",No,,,,,0,0,Yes,No,No,No,No
"(2s)-2,8-Diaminooctanoic Acid",DB04486,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
N-Methylleucine,DB04487,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"(6S)-N-[(2S,3R,6R,7R)-3-(Acetyloxymethyl)-2-carboxy-8-oxo-5-thia-1-azabicyclo[4.2.0]octan-7-yl]-6-[(2-aminoacetyl)amino]-7-hydroxy-7-oxoheptanimidate",DB04488,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Guanidinoethylmercaptosuccinic acid,DB04489,small molecule,experimental,"Acids, Acyclic; Dicarboxylic Acids",No,,,,,0,0,No,No,No,No,No
3-(Mercaptomethylene)Pyridine,DB04490,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Diisopropylphosphono Group,DB04491,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
2-(acetylamino)-2-deoxy-4-O-sulfo-alpha-D-galactopyranose,DB04492,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Fructose-6-phosphate,DB04493,small molecule,experimental,Carbohydrates; Hexosephosphates; Sugar Phosphates,No,,,,,0,0,No,No,No,No,No
Dihydroxy(oxo)molybdenum(6+),DB04494,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Paratoulene phosphate,DB04495,small molecule,experimental,"Amides; Amino Acids; Amino Acids, Aromatic; Amino Acids, Cyclic; Amino Acids, Peptides, and Proteins",No,,,,,0,0,No,No,No,No,No
4-Phospho-D-erythronohydroxamic acid,DB04496,small molecule,experimental,Amines; Carbohydrates; Hydroxy Acids; Hydroxylamines,No,,,,,0,0,No,No,No,No,No
2'-Monophosphoadenosine-5'-Diphosphoribose,DB04497,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Aspartate Semialdehyde,DB04498,small molecule,experimental,"Amino Acids; Amino Acids, Acidic; Amino Acids, Dicarboxylic; Amino Acids, Peptides, and Proteins; Excitatory Amino Acids",No,,,,,0,0,No,No,No,No,No
(R)-styrene oxide,DB04499,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Acedoben,DB04500,small molecule,experimental,"Acids, Carbocyclic; Aminobenzoates; Benzene Derivatives; Benzoates",No,,,,,0,0,No,No,No,No,No
Camphane,DB04501,small molecule,experimental,Bicyclic Monoterpenes; Bridged-Ring Compounds; Monoterpenes; Norbornanes; Terpenes,No,,,,,0,0,No,No,No,No,No
WRR-204,DB04502,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Sp-722,DB04503,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"(3s)-2,3,4,5-Tetrahydropyridin-3-Amine",DB04504,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"8-(2-Chloro-3,4,5-Trimethoxy-Benzyl)-9-Pent-4-Ylnyl-9h-Purin-6-Ylamine",DB04505,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Chlorophyll B,DB04506,small molecule,experimental,"Heterocyclic Compounds, Fused-Ring",No,,,,,0,0,Yes,No,No,No,No
"Methyl(6s)-1-Thio-L-Manno-Hexodialdo-6,2-Pyranoside",DB04508,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
N-Methylnaloxonium,DB04509,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
3-phospho-D-glyceric acid,DB04510,small molecule,experimental,"Acids, Acyclic; Carbohydrates; Hydroxy Acids; Sugar Acids",No,,,,,0,0,No,No,No,No,No
N-Succinyl Methionine,DB04511,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
2-Isobutyl-3-methoxypyrazine,DB04512,small molecule,experimental,Odorants,No,,,,,0,0,No,No,No,No,No
N-(6-Aminohexyl)-5-Chloro-1-Naphthalenesulfonamide,DB04513,small molecule,experimental,"Amides; Calcium-Calmodulin-Dependent Protein Kinases, antagonists & inhibitors; Cardiovascular Agents; Enzyme Inhibitors; Sulfones",No,,,,,3,0,No,No,No,No,No
Uridylyl-2'-5'-phospho-guanosine,DB04514,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
2-O-methyl-alpha-L-fucopyranose,DB04515,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
2-Deoxy-Glucitol-6-Phosphate,DB04516,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Dipyrromethane Cofactor,DB04517,small molecule,experimental,Coenzymes; Enzymes and Coenzymes,No,,,,,0,0,No,No,No,No,No
"3-[4-(2,4-Dimethyl-Thiazol-5-Yl)-Pyrimidin-2-Ylamino]-Phenol",DB04518,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Caprylic acid,DB04519,small molecule,investigational,"Acids, Acyclic; Fatty Acids; Lipids; OAT1/SLC22A6 inhibitors; OAT3/SLC22A8 Inhibitors",No,,,,,80,0,Yes,No,No,No,No
"(3s,8ar)-3-(4-Hydroxybenzyl)Hexahydropyrrolo[1,2-a]Pyrazine-1,4-Dione",DB04520,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
4-S-Glutathionyl-5-pentyl-tetrahydro-furan-2-ol,DB04521,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Dexfosfoserine,DB04522,small molecule,experimental,"Amino Acids; Amino Acids, Neutral; Amino Acids, Peptides, and Proteins; Phosphoamino Acids",Yes,,,Oral,DrugBank text extraction,0,0,Yes,No,No,No,No
Tert-Butyl(1s)-1-Cyclohexyl-2-Oxoethylcarbamate,DB04523,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Malonyl-CoA,DB04524,small molecule,experimental,"Adenine Nucleotides; Coenzymes; Enzymes and Coenzymes; Heterocyclic Compounds, Fused-Ring; Nucleic Acids, Nucleotides, and Nucleosides",No,,,,,0,0,Yes,No,No,No,No
N-(3-Carboxypropanoyl)-L-phenylalanyl-3-carboxy-O-(carboxymethyl)-N-pentyl-L-tyrosinamide,DB04525,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
L-Glycero-D-Manno-Heptopyranose,DB04526,small molecule,experimental,Carbohydrates; Monosaccharides,No,,,,,0,0,No,No,No,No,No
beta-Hydroxyasparagine,DB04527,small molecule,experimental,"Amino Acids; Amino Acids, Basic; Amino Acids, Diamino; Amino Acids, Neutral; Amino Acids, Peptides, and Proteins",No,,,,,0,0,No,No,No,No,No
"2,4-Dinitrophenol",DB04528,small molecule,experimental,"Benzene Derivatives; Coloring Agents; Compounds used in a research, industrial, or household setting; Dinitrophenols; Enzyme Inhibitors",No,,,,,0,0,Yes,No,No,No,No
Desvancosaminyl vancomycin,DB04529,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
"S,S-(2-Hydroxyethyl)Thiocysteine",DB04530,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
S-Benzylcysteine,DB04531,small molecule,experimental,"Amino Acids; Amino Acids, Neutral; Amino Acids, Peptides, and Proteins; Amino Acids, Sulfur; Sulfhydryl Compounds",No,,,,,0,0,No,No,No,No,No
Indole,DB04532,small molecule,experimental,"Heterocyclic Compounds, Fused-Ring",Yes,,,,OpenFDA,0,0,No,No,No,No,No
2-Amino-4-methylphenol,DB04533,small molecule,experimental,Benzene Derivatives; Phenols,No,,,,,0,0,No,No,No,No,No
5-Nitroindazole,DB04534,small molecule,experimental,"Heterocyclic Compounds, Fused-Ring; Pyrazoles",No,,,,,0,0,No,No,No,No,No
Tryptophanamide,DB04537,small molecule,experimental,"Amino Acids; Amino Acids, Aromatic; Amino Acids, Cyclic; Amino Acids, Peptides, and Proteins",No,,,,,0,0,No,No,No,No,No
threo-3-methyl-L-aspartic acid,DB04538,small molecule,experimental,,No,,,,,0,0,No,No,No,No,No
Glyphosate,DB04539,small molecule,experimental,"Agrochemicals; Amino Acids; Amino Acids, Peptides, and Proteins; Anti-Infective Agents; Compounds used in a research, industrial, or household setting",Yes,,,,OpenFDA,0,0,No,No,No,No,No
Cholesterol,DB04540,small molecule,approved; investigational,BCRP/ABCG2 Inducers; Cholestanes; Cholestenes; Fused-Ring Compounds; Lipids,Yes,,,,OpenFDA,98,0,Yes,No,No,No,No
Cyclo(prolylglycyl),DB04541,small molecule,experimental,"Amino Acids, Peptides, and Proteins; Peptides",No,,,,,0,0,Yes,No,No,No,No
